"company_id","url_count","reached_count"
274,"6","6"
163,"2","0"
801,"7","6"
223,"1","1"
669,"2","0"
833,"6","5"
352,"3","1"
221,"6","5"
362,"2","0"
752,"6","5"
688,"2","0"
594,"6","3"
460,"6","6"
499,"6","6"
265,"2","0"
111,"1","1"
851,"2","0"
968,"7","6"
16,"6","5"
62,"6","2"
893,"2","0"
326,"7","6"
993,"2","0"
568,"2","0"
371,"6","5"
805,"6","5"
655,"6","6"
413,"2","0"
649,"2","0"
183,"2","0"
100,"2","0"
925,"2","0"
150,"6","5"
656,"2","0"
421,"6","6"
429,"2","0"
835,"6","6"
25,"6","6"
141,"6","6"
122,"2","0"
570,"2","0"
648,"6","6"
923,"2","1"
434,"2","0"
995,"2","0"
211,"1","1"
901,"6","5"
530,"6","6"
536,"2","0"
928,"6","6"
465,"2","0"
449,"2","0"
520,"1","1"
64,"7","4"
55,"2","0"
148,"1","1"
790,"7","5"
828,"2","1"
